Date,Open,High,Low,Close,Adj Close,Volume
2013-12-31,184.070007,184.690002,183.929993,184.690002,157.853638,86119900
2014-01-02,183.979996,184.070007,182.479996,182.919998,156.340836,119636900
2014-01-03,183.229996,183.600006,182.630005,182.889999,156.315201,81390600
2014-01-06,183.490005,183.559998,182.080002,182.360001,155.862137,108028200
2014-01-07,183.089996,183.789993,182.949997,183.479996,156.819412,86144200
2014-01-08,183.449997,183.830002,182.889999,183.520004,156.853622,96582300
2014-01-09,184.110001,184.130005,182.800003,183.639999,156.956177,90683400
2014-01-10,183.949997,184.220001,183.009995,184.139999,157.383530,102026400
2014-01-13,183.669998,184.179993,181.339996,181.690002,155.289505,149892000
2014-01-14,182.289993,183.770004,181.949997,183.669998,156.981812,105016100
2014-01-15,184.100006,184.940002,183.710007,184.660004,157.828003,98525800
2014-01-16,184.279999,184.660004,183.830002,184.419998,157.622849,72290600
2014-01-17,184.100006,184.449997,183.320007,183.639999,156.956177,107848700
2014-01-21,184.699997,184.770004,183.050003,184.179993,157.417770,88621200
2014-01-22,184.490005,184.570007,183.910004,184.300003,157.520279,61270900
2014-01-23,183.369995,183.399994,181.820007,182.789993,156.229691,132496900
2014-01-24,181.600006,181.660004,178.830002,178.889999,152.896408,208677100
2014-01-27,179.059998,179.520004,177.119995,178.009995,152.144226,180843100
2014-01-28,178.139999,179.300003,178.119995,179.070007,153.050247,110463200
2014-01-29,177.580002,178.550003,176.880005,177.350006,151.580170,216597300
2014-01-30,178.830002,179.809998,178.259995,179.229996,153.186981,118938100
2014-01-31,177.009995,179.289993,176.919998,178.179993,152.289536,194677900
2014-02-03,177.970001,178.369995,173.830002,174.169998,148.862228,254837100
2014-02-04,174.949997,175.839996,174.110001,175.389999,149.904984,165012400
2014-02-05,174.779999,175.559998,173.710007,175.169998,149.716949,164230500
2014-02-06,175.580002,177.479996,175.220001,177.479996,151.691269,132877600
2014-02-07,178.309998,179.869995,177.729996,179.679993,153.571548,170787200
2014-02-10,179.699997,180.070007,179.210007,180.009995,153.853638,92218800
2014-02-11,180.160004,182.440002,180.039993,181.979996,155.537399,117814100
2014-02-12,182.250000,182.830002,181.710007,182.070007,155.614349,94717700
2014-02-13,180.839996,183.199997,180.830002,183.009995,156.417725,100542200
2014-02-14,182.839996,184.360001,182.669998,184.020004,157.280930,96498400
2014-02-18,184.179993,184.490005,183.649994,184.240005,157.469009,80460900
2014-02-19,183.759995,184.949997,182.869995,183.020004,156.426285,126524300
2014-02-20,183.270004,184.520004,182.600006,184.100006,157.349350,104998100
2014-02-21,184.449997,184.889999,183.800003,183.889999,157.169891,118116400
2014-02-24,184.279999,186.149994,184.199997,184.910004,158.041656,114063900
2014-02-25,185.059998,185.589996,184.229996,184.839996,157.981812,117085000
2014-02-26,185.110001,185.600006,184.330002,184.850006,157.990341,98677200
2014-02-27,184.580002,185.869995,184.369995,185.820007,158.819412,93880800
2014-02-28,185.789993,187.149994,185.050003,186.289993,159.221115,150842000
2014-03-03,184.649994,185.449997,183.750000,184.979996,158.101501,167748500
2014-03-04,186.789993,187.979996,186.750000,187.580002,160.323669,167545900
2014-03-05,187.740005,188.070007,187.449997,187.750000,160.468979,88376900
2014-03-06,188.210007,188.610001,187.779999,188.179993,160.836487,82516500
2014-03-07,188.960007,188.960007,187.429993,188.259995,160.904907,114513500
2014-03-10,187.970001,188.229996,187.080002,188.160004,160.819427,74939200
2014-03-11,188.440002,188.710007,186.800003,187.229996,160.024551,99009100
2014-03-12,186.320007,187.350006,185.899994,187.279999,160.067276,104824400
2014-03-13,187.839996,187.990005,184.660004,185.179993,158.272400,155014300
2014-03-14,184.850006,185.800003,184.440002,184.660004,157.828003,153919600
2014-03-17,185.589996,186.770004,185.509995,186.330002,159.255325,98359500
2014-03-18,186.710007,187.910004,186.509995,187.660004,160.392075,101804600
2014-03-19,187.679993,187.940002,185.470001,186.660004,159.537354,176267300
2014-03-20,186.250000,187.889999,185.919998,187.750000,160.468979,117241000
2014-03-21,187.710007,189.020004,186.029999,186.199997,159.846619,163128000
2014-03-24,186.839996,187.070007,184.619995,185.429993,159.185562,121411000
2014-03-25,186.369995,186.940002,185.270004,186.309998,159.941025,103852000
2014-03-26,187.039993,187.339996,184.919998,184.970001,158.790665,119843000
2014-03-27,184.750000,185.339996,183.899994,184.580002,158.455917,142383000
2014-03-28,185.110001,186.419998,185.000000,185.490005,159.237122,101642000
2014-03-31,186.669998,187.300003,185.520004,187.009995,160.541962,99745000
2014-04-01,187.619995,188.360001,187.000000,188.250000,161.606445,89193000
2014-04-02,188.490005,189.130005,188.139999,188.880005,162.147308,78774000
2014-04-03,189.169998,189.220001,188.050003,188.630005,161.932632,77435000
2014-04-04,189.660004,189.699997,186.100006,186.399994,160.018295,169381000
2014-04-07,185.949997,186.259995,183.960007,184.339996,158.249817,140803000
2014-04-08,184.259995,185.399994,183.589996,185.100006,158.902313,112660000
2014-04-09,185.600006,187.149994,185.059998,187.089996,160.610596,100254000
2014-04-10,187.080002,187.169998,182.929993,183.160004,157.236832,172959000
2014-04-11,182.139999,183.419998,181.309998,181.509995,155.820404,167251000
2014-04-14,182.929993,183.369995,181.440002,182.940002,157.048019,132382000
2014-04-15,183.320007,184.330002,181.509995,184.199997,158.129654,157093000
2014-04-16,185.470001,186.139999,184.649994,186.130005,159.786469,105197000
2014-04-17,185.880005,186.910004,185.559998,186.389999,160.009750,105255000
2014-04-21,186.440002,187.100006,186.210007,187.039993,160.567734,68329000
2014-04-22,187.229996,188.399994,187.130005,187.889999,161.297409,85790000
2014-04-23,187.820007,187.919998,187.300003,187.449997,160.919678,73869000
2014-04-24,188.369995,188.389999,186.929993,187.830002,161.245880,88170000
2014-04-25,187.220001,187.330002,185.869995,186.289993,159.923859,100380000
2014-04-28,187.050003,187.690002,184.960007,186.880005,160.430374,135121000
2014-04-29,187.479996,188.039993,187.080002,187.750000,161.177216,84098000
2014-04-30,187.440002,188.500000,187.179993,188.309998,161.658005,101508000
2014-05-01,188.220001,188.839996,187.729996,188.330002,161.675140,93019000
2014-05-02,188.309998,189.139999,187.779999,188.059998,161.443329,98122000
2014-05-05,187.139999,188.550003,186.619995,188.419998,161.752411,75883000
2014-05-06,188.000000,188.130005,186.740005,186.779999,160.344467,85454000
2014-05-07,187.410004,187.970001,186.009995,187.880005,161.288864,106500000
2014-05-08,187.710007,189.050003,187.080002,187.679993,161.117111,93618000
2014-05-09,187.710007,188.039993,186.830002,187.960007,161.357574,83679000
2014-05-12,188.800003,189.880005,188.000000,189.789993,162.928482,86940000
2014-05-13,190.039993,190.419998,189.770004,189.960007,163.074448,66454000
2014-05-14,189.789993,189.880005,188.789993,189.059998,162.301834,72367000
2014-05-15,188.679993,188.720001,186.479996,187.399994,160.876724,154956000
2014-05-16,187.509995,188.130005,186.720001,188.050003,161.434738,97458000
